statement_id,variant_type,selected_k,RCS,rank,found,recall@1,recall@5,recall@10,mrr
0,original,10,0.35521790054089303,3.0,True,0,1,1,0.3333333333333333
0,biomarker_synonym,10,0.35521790054089303,3.0,True,0,1,1,0.3333333333333333
0,biomarker_order,10,0.35521790054089303,2.0,True,0,1,1,0.5
0,wording,10,0.24285617544979807,4.0,True,0,1,1,0.25
1,original,10,0.42046310309952845,1.0,True,1,1,1,1.0
1,biomarker_synonym,10,0.4135482094825072,2.0,True,0,1,1,0.5
1,biomarker_order,10,0.42046310309952845,1.0,True,1,1,1,1.0
1,wording,10,0.43412769937282036,3.0,True,0,1,1,0.3333333333333333
2,original,10,0.35521790054089303,1.0,True,1,1,1,1.0
2,biomarker_synonym,10,0.24977106906681934,4.0,True,0,1,1,0.25
2,biomarker_order,10,0.35521790054089303,1.0,True,1,1,1,1.0
2,wording,10,0.34775858461937087,6.0,True,0,0,1,0.16666666666666666
3,original,10,0.34711383085300657,1.0,True,1,1,1,1.0
3,biomarker_synonym,10,0.34711383085300657,2.0,True,0,1,1,0.5
3,biomarker_order,10,0.34711383085300657,1.0,True,1,1,1,1.0
3,wording,10,0.34711383085300657,1.0,True,1,1,1,1.0
4,original,10,0.4003111931141805,1.0,True,1,1,1,1.0
4,biomarker_synonym,10,0.34711383085300657,1.0,True,1,1,1,1.0
4,biomarker_order,10,0.4003111931141805,1.0,True,1,1,1,1.0
4,wording,10,0.34711383085300657,1.0,True,1,1,1,1.0
5,original,10,0.19252036774389492,,False,0,0,0,0.0
5,biomarker_synonym,10,0.19252036774389492,,False,0,0,0,0.0
5,biomarker_order,10,0.19252036774389492,,False,0,0,0,0.0
5,wording,10,0.19252036774389492,,False,0,0,0,0.0
6,original,10,0.34711383085300657,,False,0,0,0,0.0
6,biomarker_synonym,10,0.34711383085300657,,False,0,0,0,0.0
6,biomarker_order,10,0.34711383085300657,,False,0,0,0,0.0
6,wording,10,0.34711383085300657,,False,0,0,0,0.0
7,original,10,0.4003111931141805,3.0,True,0,1,1,0.3333333333333333
7,biomarker_synonym,10,0.34711383085300657,5.0,True,0,1,1,0.2
7,biomarker_order,10,0.4003111931141805,2.0,True,0,1,1,0.5
7,wording,10,0.34711383085300657,5.0,True,0,1,1,0.2
8,original,10,0.19252036774389492,,False,0,0,0,0.0
8,biomarker_synonym,10,0.19252036774389492,,False,0,0,0,0.0
8,biomarker_order,10,0.19252036774389492,,False,0,0,0,0.0
8,wording,10,0.19252036774389492,,False,0,0,0,0.0
9,original,10,0.34711383085300657,9.0,True,0,0,1,0.1111111111111111
9,biomarker_synonym,10,0.34711383085300657,8.0,True,0,0,1,0.125
9,biomarker_order,10,0.34711383085300657,9.0,True,0,0,1,0.1111111111111111
9,wording,10,0.34711383085300657,7.0,True,0,0,1,0.14285714285714285
10,original,10,0.4003111931141805,,False,0,0,0,0.0
10,biomarker_synonym,10,0.34711383085300657,10.0,True,0,0,1,0.1
10,biomarker_order,10,0.4003111931141805,,False,0,0,0,0.0
10,wording,10,0.34711383085300657,9.0,True,0,0,1,0.1111111111111111
11,original,10,0.19252036774389492,,False,0,0,0,0.0
11,biomarker_synonym,10,0.19252036774389492,,False,0,0,0,0.0
11,biomarker_order,10,0.19252036774389492,,False,0,0,0,0.0
11,wording,10,0.19252036774389492,,False,0,0,0,0.0
12,original,10,0.34711383085300657,1.0,True,1,1,1,1.0
12,biomarker_synonym,10,0.34711383085300657,2.0,True,0,1,1,0.5
12,biomarker_order,10,0.34711383085300657,1.0,True,1,1,1,1.0
12,wording,10,0.34711383085300657,1.0,True,1,1,1,1.0
13,original,10,0.4003111931141805,1.0,True,1,1,1,1.0
13,biomarker_synonym,10,0.34711383085300657,1.0,True,1,1,1,1.0
13,biomarker_order,10,0.4003111931141805,1.0,True,1,1,1,1.0
13,wording,10,0.34711383085300657,1.0,True,1,1,1,1.0
14,original,10,0.19252036774389492,,False,0,0,0,0.0
14,biomarker_synonym,10,0.19252036774389492,,False,0,0,0,0.0
14,biomarker_order,10,0.19252036774389492,,False,0,0,0,0.0
14,wording,10,0.19252036774389492,,False,0,0,0,0.0
15,original,10,0.349411844250738,,False,0,0,0,0.0
15,biomarker_synonym,10,0.349411844250738,,False,0,0,0,0.0
15,biomarker_order,10,0.349411844250738,,False,0,0,0,0.0
15,wording,10,0.36421390965521305,,False,0,0,0,0.0
16,original,10,0.33352812895006,,False,0,0,0,0.0
16,biomarker_synonym,10,0.33352812895006,,False,0,0,0,0.0
16,biomarker_order,10,0.33352812895006,,False,0,0,0,0.0
16,wording,10,0.35015463497415633,,False,0,0,0,0.0
17,original,10,0.33352812895006,,False,0,0,0,0.0
17,biomarker_synonym,10,0.33352812895006,,False,0,0,0,0.0
17,biomarker_order,10,0.33352812895006,,False,0,0,0,0.0
17,wording,10,0.3808404156793094,,False,0,0,0,0.0
18,original,10,0.33352812895006,,False,0,0,0,0.0
18,biomarker_synonym,10,0.33352812895006,,False,0,0,0,0.0
18,biomarker_order,10,0.33352812895006,,False,0,0,0,0.0
18,wording,10,0.3808404156793094,,False,0,0,0,0.0
19,original,3,0.9669841269841271,1.0,True,1,1,1,1.0
19,biomarker_synonym,3,0.9669841269841271,1.0,True,1,1,1,1.0
19,biomarker_order,3,0.9669841269841271,1.0,True,1,1,1,1.0
19,wording,3,0.9265732326292122,1.0,True,1,1,1,1.0
20,original,10,0.5450867921494895,,False,0,0,0,0.0
20,biomarker_synonym,10,0.5450867921494895,,False,0,0,0,0.0
20,biomarker_order,10,0.5450867921494895,,False,0,0,0,0.0
20,wording,10,0.5450867921494895,,False,0,0,0,0.0
21,original,10,0.19252036774389492,,False,0,0,0,0.0
21,biomarker_synonym,10,0.19252036774389492,,False,0,0,0,0.0
21,biomarker_order,10,0.19252036774389492,,False,0,0,0,0.0
21,wording,10,0.22320614844904796,,False,0,0,0,0.0
22,original,3,0.9407067547213532,2.0,True,0,1,1,0.5
22,biomarker_synonym,3,0.9407067547213532,2.0,True,0,1,1,0.5
22,biomarker_order,3,0.9407067547213532,2.0,True,0,1,1,0.5
22,wording,3,0.9002958603664386,2.0,True,0,1,1,0.5
23,original,10,0.5888202098825761,1.0,True,1,1,1,1.0
23,biomarker_synonym,10,0.5888202098825761,1.0,True,1,1,1,1.0
23,biomarker_order,10,0.5888202098825761,1.0,True,1,1,1,1.0
23,wording,10,0.6184912237817292,1.0,True,1,1,1,1.0
24,original,10,0.5648461359430014,1.0,True,1,1,1,1.0
24,biomarker_synonym,10,0.5648461359430014,1.0,True,1,1,1,1.0
24,biomarker_order,10,0.5648461359430014,1.0,True,1,1,1,1.0
24,wording,10,0.5648461359430014,1.0,True,1,1,1,1.0
25,original,3,0.858291411969341,1.0,True,1,1,1,1.0
25,biomarker_synonym,3,0.8666941427067499,1.0,True,1,1,1,1.0
25,biomarker_order,3,0.8666941427067499,1.0,True,1,1,1,1.0
25,wording,3,0.827665392520544,1.0,True,1,1,1,1.0
26,original,5,0.7386631492241591,1.0,True,1,1,1,1.0
26,biomarker_synonym,5,0.7553298158908258,1.0,True,1,1,1,1.0
26,biomarker_order,5,0.7429222441664838,1.0,True,1,1,1,1.0
26,wording,5,0.735071688720539,1.0,True,1,1,1,1.0
27,original,3,0.7943320591872107,1.0,True,1,1,1,1.0
27,biomarker_synonym,3,0.7943320591872107,2.0,True,0,1,1,0.5
27,biomarker_order,3,0.8955382572348517,1.0,True,1,1,1,1.0
27,wording,3,0.827665392520544,1.0,True,1,1,1,1.0
28,original,10,0.39398154291367365,4.0,True,0,1,1,0.25
28,biomarker_synonym,10,0.39398154291367365,4.0,True,0,1,1,0.25
28,biomarker_order,10,0.39398154291367365,4.0,True,0,1,1,0.25
28,wording,3,0.9002958603664386,3.0,True,0,1,1,0.3333333333333333
29,original,10,0.39398154291367365,4.0,True,0,1,1,0.25
29,biomarker_synonym,10,0.39398154291367365,4.0,True,0,1,1,0.25
29,biomarker_order,10,0.39398154291367365,4.0,True,0,1,1,0.25
29,wording,3,0.9002958603664386,3.0,True,0,1,1,0.3333333333333333
30,original,3,0.9407067547213532,1.0,True,1,1,1,1.0
30,biomarker_synonym,3,0.9407067547213532,1.0,True,1,1,1,1.0
